,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
167,NN_tune_trainable_dbca4_00756_756_seed=757_2022-10-05_20-23-09,0.553,0.0857,0.641,0.0874
168,NN_tune_trainable_dbca4_00823_823_seed=824_2022-10-12_13-30-36,0.568,0.0858,0.6379,0.0877
169,NN_tune_trainable_dbca4_00655_655_seed=656_2022-09-25_17-17-46,0.566,0.0841,0.6417,0.0848
170,NN_tune_trainable_dbca4_00735_735_seed=736_2022-10-03_17-31-32,0.561,0.086,0.6394,0.0862
171,NN_tune_trainable_dbca4_00275_275_seed=276_2022-08-29_11-14-40,0.55,0.0849,0.6403,0.0894
172,NN_tune_trainable_dbca4_00023_23_seed=24_2022-08-23_05-13-19,0.569,0.0833,0.6404,0.0873
173,NN_tune_trainable_dbca4_00426_426_seed=427_2022-09-01_18-12-11,0.567,0.0842,0.6421,0.0853
174,NN_tune_trainable_dbca4_00135_135_seed=136_2022-08-26_00-58-24,0.546,0.0943,0.6416,0.0941
175,NN_tune_trainable_dbca4_00208_208_seed=209_2022-08-27_19-46-53,0.564,0.0891,0.6425,0.0897
176,NN_tune_trainable_dbca4_00462_462_seed=463_2022-09-06_14-43-56,0.578,0.0814,0.6446,0.0848
177,NN_tune_trainable_dbca4_00877_877_seed=878_2022-10-17_15-33-31,0.562,0.0777,0.6377,0.0783
178,NN_tune_trainable_dbca4_00238_238_seed=239_2022-08-28_13-24-17,0.562,0.0852,0.6379,0.0874
179,NN_tune_trainable_dbca4_00874_874_seed=875_2022-10-17_08-21-55,0.568,0.0895,0.6401,0.0917
180,NN_tune_trainable_dbca4_00095_95_seed=96_2022-08-24_23-53-10,0.56,0.0884,0.6421,0.0903
181,NN_tune_trainable_dbca4_00537_537_seed=538_2022-09-14_03-55-56,0.553,0.0798,0.6376,0.0844
182,NN_tune_trainable_dbca4_00905_905_seed=906_2022-10-20_10-41-22,0.562,0.0942,0.6413,0.0927
183,NN_tune_trainable_dbca4_00118_118_seed=119_2022-08-25_14-09-33,0.56,0.095,0.6457,0.0931
184,NN_tune_trainable_dbca4_00895_895_seed=896_2022-10-19_10-40-30,0.576,0.0828,0.6402,0.0846
185,NN_tune_trainable_dbca4_00759_759_seed=760_2022-10-06_03-37-53,0.575,0.0923,0.6376,0.0921
186,NN_tune_trainable_dbca4_00009_9_seed=10_2022-08-22_19-59-23,0.553,0.0836,0.6407,0.0858
187,NN_tune_trainable_dbca4_00185_185_seed=186_2022-08-27_06-23-22,0.565,0.0901,0.6366,0.091
188,NN_tune_trainable_dbca4_00604_604_seed=605_2022-09-20_21-41-48,0.565,0.0896,0.6405,0.0889
189,NN_tune_trainable_dbca4_00323_323_seed=324_2022-08-30_14-43-57,0.567,0.0792,0.6413,0.0815
190,NN_tune_trainable_dbca4_00509_509_seed=510_2022-09-11_08-22-09,0.563,0.0946,0.6352,0.0943
191,NN_tune_trainable_dbca4_00591_591_seed=592_2022-09-19_14-21-23,0.564,0.0768,0.6434,0.0789
192,NN_tune_trainable_dbca4_00494_494_seed=495_2022-09-09_20-09-50,0.572,0.0869,0.6452,0.0873
193,NN_tune_trainable_dbca4_00952_952_seed=953_2022-10-25_03-50-18,0.56,0.0831,0.6456,0.0845
194,NN_tune_trainable_dbca4_00804_804_seed=805_2022-10-10_15-49-43,0.571,0.0899,0.644,0.0886
195,NN_tune_trainable_dbca4_00496_496_seed=497_2022-09-10_01-00-04,0.565,0.0851,0.645,0.0854
196,NN_tune_trainable_dbca4_00265_265_seed=266_2022-08-29_05-25-02,0.564,0.0895,0.6414,0.091
197,NN_tune_trainable_dbca4_00777_777_seed=778_2022-10-07_22-57-44,0.562,0.0965,0.6406,0.0978
198,NN_tune_trainable_dbca4_00031_31_seed=32_2022-08-23_09-50-05,0.554,0.0901,0.6399,0.0912
199,NN_tune_trainable_dbca4_00545_545_seed=546_2022-09-14_23-16-05,0.563,0.0898,0.6403,0.0905
200,NN_tune_trainable_dbca4_00382_382_seed=383_2022-09-01_01-35-38,0.565,0.0833,0.6383,0.0863
201,NN_tune_trainable_dbca4_00859_859_seed=860_2022-10-16_03-40-31,0.557,0.0955,0.64,0.099
202,NN_tune_trainable_dbca4_00917_917_seed=918_2022-10-21_15-30-39,0.564,0.0893,0.6398,0.0924
