,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
786,NN_tune_trainable_da045_00499_499_seed=500_2021-09-26_18-27-04,0.609,0.2625,0.6256,0.261
787,NN_tune_trainable_da045_00079_79_seed=80_2021-09-25_16-26-40,0.609,0.2502,0.6244,0.2436
788,NN_tune_trainable_da045_00248_248_seed=249_2021-09-26_02-57-36,0.604,0.2466,0.6193,0.2452
789,NN_tune_trainable_da045_00290_290_seed=291_2021-09-26_05-51-00,0.596,0.2681,0.6179,0.2665
790,NN_tune_trainable_da045_00180_180_seed=181_2021-09-25_23-16-19,0.597,0.2644,0.6136,0.2609
791,NN_tune_trainable_da045_00117_117_seed=118_2021-09-25_18-50-01,0.592,0.2492,0.6132,0.248
792,NN_tune_trainable_da045_00016_16_seed=17_2021-09-25_12-30-14,0.602,0.2419,0.6213,0.2449
793,NN_tune_trainable_da045_00576_576_seed=577_2021-09-26_23-31-19,0.603,0.2745,0.615,0.2708
794,NN_tune_trainable_da045_00497_497_seed=498_2021-09-26_18-25-18,0.606,0.2552,0.6193,0.2564
795,NN_tune_trainable_da045_00841_841_seed=842_2021-09-27_11-39-53,0.598,0.251,0.6207,0.248
796,NN_tune_trainable_da045_00705_705_seed=706_2021-09-27_05-16-51,0.594,0.2572,0.6132,0.258
797,NN_tune_trainable_da045_00001_1_seed=2_2021-09-25_11-43-53,0.586,0.2528,0.6054,0.2531
798,NN_tune_trainable_da045_00328_328_seed=329_2021-09-26_08-03-53,0.609,0.2451,0.6275,0.2474
799,NN_tune_trainable_da045_00160_160_seed=161_2021-09-25_21-50-45,0.598,0.2414,0.6134,0.2444
800,NN_tune_trainable_da045_00602_602_seed=603_2021-09-27_00-59-29,0.591,0.2582,0.6117,0.2555
801,NN_tune_trainable_da045_00966_966_seed=967_2021-09-27_17-25-04,0.61,0.2423,0.6255,0.242
802,NN_tune_trainable_da045_00995_995_seed=996_2021-09-27_18-40-26,0.591,0.2708,0.6102,0.2749
803,NN_tune_trainable_da045_00767_767_seed=768_2021-09-27_07-55-45,0.589,0.2568,0.6057,0.2556
804,NN_tune_trainable_da045_00246_246_seed=247_2021-09-26_02-57-08,0.597,0.2609,0.6093,0.2582
805,NN_tune_trainable_da045_00264_264_seed=265_2021-09-26_04-21-49,0.599,0.248,0.6236,0.2447
806,NN_tune_trainable_da045_00735_735_seed=736_2021-09-27_06-47-47,0.591,0.2528,0.6157,0.252
807,NN_tune_trainable_da045_00780_780_seed=781_2021-09-27_08-50-57,0.603,0.2617,0.6189,0.2561
808,NN_tune_trainable_da045_00875_875_seed=876_2021-09-27_12-57-49,0.606,0.2417,0.632,0.2437
809,NN_tune_trainable_da045_00884_884_seed=885_2021-09-27_13-28-41,0.601,0.2475,0.6144,0.2479
810,NN_tune_trainable_da045_00022_22_seed=23_2021-09-25_12-31-47,0.604,0.255,0.6161,0.2596
811,NN_tune_trainable_da045_00512_512_seed=513_2021-09-26_19-11-41,0.6,0.251,0.6136,0.2521
812,NN_tune_trainable_da045_00880_880_seed=881_2021-09-27_13-23-36,0.604,0.2314,0.618,0.2346
813,NN_tune_trainable_da045_00429_429_seed=430_2021-09-26_14-00-37,0.601,0.2468,0.6215,0.2512
814,NN_tune_trainable_da045_00198_198_seed=199_2021-09-26_00-02-14,0.591,0.2325,0.6095,0.2325
815,NN_tune_trainable_da045_00277_277_seed=278_2021-09-26_05-05-41,0.599,0.2652,0.6212,0.2676
816,NN_tune_trainable_da045_00359_359_seed=360_2021-09-26_09-35-04,0.613,0.2499,0.6315,0.2469
817,NN_tune_trainable_da045_00223_223_seed=224_2021-09-26_01-29-43,0.595,0.2599,0.6182,0.2616
818,NN_tune_trainable_da045_00127_127_seed=128_2021-09-25_19-36-34,0.596,0.245,0.6134,0.2452
819,NN_tune_trainable_da045_00202_202_seed=203_2021-09-26_00-03-21,0.603,0.261,0.6177,0.2577
820,NN_tune_trainable_da045_00474_474_seed=475_2021-09-26_16-57-44,0.598,0.2572,0.6175,0.2579
821,NN_tune_trainable_da045_00776_776_seed=777_2021-09-27_08-24-32,0.592,0.2536,0.6106,0.2507
822,NN_tune_trainable_da045_00498_498_seed=499_2021-09-26_18-26-08,0.602,0.2449,0.6177,0.243
823,NN_tune_trainable_da045_00994_994_seed=995_2021-09-27_18-40-26,0.614,0.2609,0.6293,0.2626
824,NN_tune_trainable_da045_00890_890_seed=891_2021-09-27_13-54-12,0.6,0.2443,0.6165,0.2429
825,NN_tune_trainable_da045_00524_524_seed=525_2021-09-26_19-56-04,0.605,0.2524,0.6232,0.2501
826,NN_tune_trainable_da045_00445_445_seed=446_2021-09-26_15-23-57,0.598,0.2476,0.6172,0.2466
827,NN_tune_trainable_da045_00060_60_seed=61_2021-09-25_15-37-38,0.604,0.2513,0.6167,0.2529
828,NN_tune_trainable_da045_00864_864_seed=865_2021-09-27_12-42-42,0.601,0.2499,0.6182,0.2465
829,NN_tune_trainable_da045_00833_833_seed=834_2021-09-27_11-10-38,0.592,0.2388,0.6059,0.2383
830,NN_tune_trainable_da045_00176_176_seed=177_2021-09-25_22-35-04,0.592,0.2432,0.6075,0.2464
831,NN_tune_trainable_da045_00005_5_seed=6_2021-09-25_11-43-54,0.601,0.2438,0.6165,0.2426
832,NN_tune_trainable_da045_00274_274_seed=275_2021-09-26_04-26-31,0.596,0.2555,0.6062,0.2521
833,NN_tune_trainable_da045_00728_728_seed=729_2021-09-27_06-18-50,0.609,0.2504,0.6258,0.2513
834,NN_tune_trainable_da045_00948_948_seed=949_2021-09-27_16-38-43,0.607,0.2464,0.6213,0.2484
835,NN_tune_trainable_da045_00697_697_seed=698_2021-09-27_05-10-48,0.603,0.2607,0.6201,0.2644
836,NN_tune_trainable_da045_00624_624_seed=625_2021-09-27_02-01-37,0.603,0.2599,0.6231,0.2525
837,NN_tune_trainable_da045_00252_252_seed=253_2021-09-26_03-38-04,0.609,0.2412,0.6281,0.2398
838,NN_tune_trainable_da045_00812_812_seed=813_2021-09-27_10-03-34,0.608,0.2517,0.6203,0.2462
839,NN_tune_trainable_da045_00810_810_seed=811_2021-09-27_10-03-29,0.587,0.2569,0.6095,0.2594
840,NN_tune_trainable_da045_00466_466_seed=467_2021-09-26_16-14-27,0.601,0.2652,0.6212,0.2672
841,NN_tune_trainable_da045_00426_426_seed=427_2021-09-26_13-58-54,0.605,0.2419,0.6164,0.2456
842,NN_tune_trainable_da045_00050_50_seed=51_2021-09-25_14-51-44,0.598,0.2568,0.6082,0.2563
843,NN_tune_trainable_da045_00208_208_seed=209_2021-09-26_00-45-11,0.595,0.2578,0.6143,0.2593
844,NN_tune_trainable_da045_00716_716_seed=717_2021-09-27_05-47-17,0.603,0.2499,0.6143,0.2579
845,NN_tune_trainable_da045_00399_399_seed=400_2021-09-26_12-28-47,0.608,0.2583,0.6215,0.2549
846,NN_tune_trainable_da045_00388_388_seed=389_2021-09-26_11-45-09,0.595,0.2728,0.6151,0.2696
847,NN_tune_trainable_da045_00713_713_seed=714_2021-09-27_05-46-29,0.589,0.2691,0.6049,0.2708
848,NN_tune_trainable_da045_00189_189_seed=190_2021-09-25_23-18-49,0.598,0.248,0.6205,0.2492
849,NN_tune_trainable_da045_00419_419_seed=420_2021-09-26_13-16-44,0.604,0.2417,0.6194,0.2413
850,NN_tune_trainable_da045_00154_154_seed=155_2021-09-25_21-08-06,0.609,0.2427,0.6224,0.2448
851,NN_tune_trainable_da045_00530_530_seed=531_2021-09-26_20-35-45,0.593,0.2609,0.6085,0.2539
852,NN_tune_trainable_da045_00294_294_seed=295_2021-09-26_05-52-54,0.596,0.2573,0.615,0.256
853,NN_tune_trainable_da045_00074_74_seed=75_2021-09-25_16-25-42,0.594,0.2432,0.6117,0.2432
854,NN_tune_trainable_da045_00573_573_seed=574_2021-09-26_22-55-50,0.579,0.2597,0.6009,0.2562
855,NN_tune_trainable_da045_00586_586_seed=587_2021-09-26_23-40-17,0.606,0.2449,0.6215,0.2468
856,NN_tune_trainable_da045_00535_535_seed=536_2021-09-26_20-40-12,0.588,0.2565,0.6002,0.2566
857,NN_tune_trainable_da045_00028_28_seed=29_2021-09-25_13-17-06,0.605,0.2415,0.6221,0.2415
858,NN_tune_trainable_da045_00820_820_seed=821_2021-09-27_10-34-31,0.593,0.267,0.615,0.2664
859,NN_tune_trainable_da045_00876_876_seed=877_2021-09-27_13-17-26,0.603,0.2516,0.6166,0.25
860,NN_tune_trainable_da045_00548_548_seed=549_2021-09-26_21-25-08,0.594,0.2498,0.6055,0.2541
861,NN_tune_trainable_da045_00798_798_seed=799_2021-09-27_09-29-53,0.595,0.2554,0.6109,0.259
862,NN_tune_trainable_da045_00562_562_seed=563_2021-09-26_22-10-59,0.599,0.2629,0.6173,0.2658
863,NN_tune_trainable_da045_00143_143_seed=144_2021-09-25_20-25-23,0.598,0.2595,0.6111,0.2617
864,NN_tune_trainable_da045_00858_858_seed=859_2021-09-27_12-15-26,0.61,0.2408,0.6279,0.2426
865,NN_tune_trainable_da045_00254_254_seed=255_2021-09-26_03-39-24,0.592,0.269,0.6092,0.2689
866,NN_tune_trainable_da045_00302_302_seed=303_2021-09-26_06-34-02,0.612,0.2471,0.6277,0.2455
867,NN_tune_trainable_da045_00272_272_seed=273_2021-09-26_04-25-16,0.6,0.2509,0.6184,0.2511
868,NN_tune_trainable_da045_00840_840_seed=841_2021-09-27_11-34-28,0.609,0.255,0.6226,0.2613
869,NN_tune_trainable_da045_00356_356_seed=357_2021-09-26_09-33-48,0.607,0.2441,0.6287,0.2441
870,NN_tune_trainable_da045_00824_824_seed=825_2021-09-27_10-37-39,0.607,0.2672,0.6236,0.2708
871,NN_tune_trainable_da045_00873_873_seed=874_2021-09-27_12-54-55,0.608,0.2485,0.6212,0.2494
872,NN_tune_trainable_da045_00659_659_seed=660_2021-09-27_03-11-58,0.607,0.2565,0.6201,0.2569
873,NN_tune_trainable_da045_00402_402_seed=403_2021-09-26_12-29-50,0.608,0.2464,0.6202,0.2517
