,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
698,NN_tune_trainable_0ecbc_00075_75_seed=76_2022-08-04_22-05-04,0.923,0.2608,0.9236,0.2616
699,NN_tune_trainable_0ecbc_00807_807_seed=808_2022-08-07_12-13-53,0.921,0.2713,0.9214,0.2742
700,NN_tune_trainable_0ecbc_00270_270_seed=271_2022-08-05_15-12-02,0.921,0.2698,0.9221,0.2696
701,NN_tune_trainable_0ecbc_00365_365_seed=366_2022-08-05_23-46-16,0.918,0.2531,0.9193,0.2539
702,NN_tune_trainable_0ecbc_00137_137_seed=138_2022-08-05_03-29-32,0.919,0.2589,0.9192,0.2605
703,NN_tune_trainable_0ecbc_00721_721_seed=722_2022-08-07_05-11-59,0.92,0.2662,0.9189,0.2696
704,NN_tune_trainable_0ecbc_00009_9_seed=10_2022-08-04_16-37-17,0.922,0.2546,0.9236,0.2546
705,NN_tune_trainable_0ecbc_00268_268_seed=269_2022-08-05_15-05-03,0.92,0.2701,0.9203,0.2718
706,NN_tune_trainable_0ecbc_00758_758_seed=759_2022-08-07_08-20-27,0.921,0.2517,0.9217,0.2512
707,NN_tune_trainable_0ecbc_00544_544_seed=545_2022-08-06_14-45-29,0.919,0.2851,0.9194,0.2863
708,NN_tune_trainable_0ecbc_00054_54_seed=55_2022-08-04_20-23-40,0.917,0.2754,0.9164,0.2779
709,NN_tune_trainable_0ecbc_00625_625_seed=626_2022-08-06_21-24-54,0.923,0.2602,0.9239,0.2615
710,NN_tune_trainable_0ecbc_00768_768_seed=769_2022-08-07_09-02-14,0.921,0.2748,0.9219,0.274
711,NN_tune_trainable_0ecbc_00454_454_seed=455_2022-08-06_07-17-05,0.921,0.2392,0.9223,0.2397
712,NN_tune_trainable_0ecbc_00623_623_seed=624_2022-08-06_21-19-58,0.921,0.2842,0.9224,0.2859
713,NN_tune_trainable_0ecbc_00023_23_seed=24_2022-08-04_17-40-06,0.921,0.2595,0.9203,0.2625
714,NN_tune_trainable_0ecbc_00844_844_seed=845_2022-08-07_15-06-51,0.92,0.2706,0.9205,0.2696
715,NN_tune_trainable_0ecbc_00363_363_seed=364_2022-08-05_23-33-55,0.921,0.2869,0.9209,0.2848
716,NN_tune_trainable_0ecbc_00986_986_seed=987_2022-08-08_02-39-24,0.921,0.2678,0.9212,0.2681
717,NN_tune_trainable_0ecbc_00970_970_seed=971_2022-08-08_01-22-29,0.922,0.2492,0.9217,0.2502
718,NN_tune_trainable_0ecbc_00134_134_seed=135_2022-08-05_03-10-43,0.921,0.2609,0.9216,0.2658
719,NN_tune_trainable_0ecbc_00507_507_seed=508_2022-08-06_11-39-29,0.921,0.2484,0.9199,0.2523
720,NN_tune_trainable_0ecbc_00913_913_seed=914_2022-08-07_20-39-36,0.919,0.2622,0.9194,0.2616
721,NN_tune_trainable_0ecbc_00924_924_seed=925_2022-08-07_21-34-07,0.923,0.2552,0.9235,0.2542
722,NN_tune_trainable_0ecbc_00104_104_seed=105_2022-08-05_00-40-09,0.918,0.2623,0.9172,0.2591
723,NN_tune_trainable_0ecbc_00033_33_seed=34_2022-08-04_18-40-43,0.921,0.2633,0.9215,0.2619
724,NN_tune_trainable_0ecbc_00588_588_seed=589_2022-08-06_18-26-00,0.923,0.2747,0.9236,0.2753
725,NN_tune_trainable_0ecbc_00687_687_seed=688_2022-08-07_02-36-03,0.921,0.2653,0.9213,0.2682
726,NN_tune_trainable_0ecbc_00987_987_seed=988_2022-08-08_02-40-24,0.919,0.2505,0.92,0.2502
727,NN_tune_trainable_0ecbc_00248_248_seed=249_2022-08-05_13-18-53,0.922,0.2663,0.9218,0.2691
728,NN_tune_trainable_0ecbc_00813_813_seed=814_2022-08-07_12-35-05,0.923,0.2665,0.9228,0.2615
729,NN_tune_trainable_0ecbc_00776_776_seed=777_2022-08-07_09-40-29,0.922,0.2627,0.9224,0.2638
730,NN_tune_trainable_0ecbc_00199_199_seed=200_2022-08-05_08-49-15,0.92,0.2589,0.9207,0.2579
731,NN_tune_trainable_0ecbc_00902_902_seed=903_2022-08-07_19-55-26,0.922,0.277,0.9234,0.2772
732,NN_tune_trainable_0ecbc_00060_60_seed=61_2022-08-04_21-01-01,0.921,0.2504,0.9224,0.2513
733,NN_tune_trainable_0ecbc_00862_862_seed=863_2022-08-07_16-42-54,0.921,0.2726,0.9203,0.2744
734,NN_tune_trainable_0ecbc_00854_854_seed=855_2022-08-07_16-04-11,0.922,0.2566,0.9226,0.2585
735,NN_tune_trainable_0ecbc_00382_382_seed=383_2022-08-06_01-16-44,0.921,0.2682,0.9209,0.2692
736,NN_tune_trainable_0ecbc_00841_841_seed=842_2022-08-07_14-50-26,0.918,0.277,0.9195,0.2804
737,NN_tune_trainable_0ecbc_00756_756_seed=757_2022-08-07_08-04-37,0.924,0.2802,0.9232,0.2784
738,NN_tune_trainable_0ecbc_00542_542_seed=543_2022-08-06_14-36-17,0.923,0.2569,0.9235,0.2615
739,NN_tune_trainable_0ecbc_00015_15_seed=16_2022-08-04_16-58-39,0.92,0.2522,0.9194,0.2541
740,NN_tune_trainable_0ecbc_00067_67_seed=68_2022-08-04_21-24-32,0.922,0.2589,0.9227,0.26
741,NN_tune_trainable_0ecbc_00322_322_seed=323_2022-08-05_19-54-50,0.917,0.2393,0.9178,0.2397
742,NN_tune_trainable_0ecbc_00764_764_seed=765_2022-08-07_08-43-00,0.92,0.2541,0.9209,0.2547
743,NN_tune_trainable_0ecbc_00835_835_seed=836_2022-08-07_14-28-20,0.919,0.2814,0.9189,0.2818
744,NN_tune_trainable_0ecbc_00565_565_seed=566_2022-08-06_16-26-46,0.921,0.2285,0.9214,0.231
745,NN_tune_trainable_0ecbc_00745_745_seed=746_2022-08-07_07-06-52,0.921,0.2709,0.9215,0.2696
746,NN_tune_trainable_0ecbc_00354_354_seed=355_2022-08-05_22-49-55,0.92,0.2593,0.9212,0.2619
747,NN_tune_trainable_0ecbc_00190_190_seed=191_2022-08-05_08-07-11,0.924,0.2478,0.925,0.2448
748,NN_tune_trainable_0ecbc_00904_904_seed=905_2022-08-07_19-57-18,0.923,0.2632,0.9232,0.2613
749,NN_tune_trainable_0ecbc_00922_922_seed=923_2022-08-07_21-31-29,0.925,0.2663,0.9244,0.2671
750,NN_tune_trainable_0ecbc_00327_327_seed=328_2022-08-05_20-17-35,0.925,0.2538,0.9249,0.2546
751,NN_tune_trainable_0ecbc_00424_424_seed=425_2022-08-06_04-47-33,0.92,0.2608,0.9221,0.2604
752,NN_tune_trainable_0ecbc_00683_683_seed=684_2022-08-07_02-16-43,0.917,0.2719,0.9173,0.2711
753,NN_tune_trainable_0ecbc_00992_992_seed=993_2022-08-08_03-03-43,0.921,0.251,0.9201,0.2552
754,NN_tune_trainable_0ecbc_00832_832_seed=833_2022-08-07_14-09-18,0.921,0.2411,0.9225,0.2418
755,NN_tune_trainable_0ecbc_00658_658_seed=659_2022-08-07_00-15-13,0.918,0.2497,0.9184,0.2495
756,NN_tune_trainable_0ecbc_00314_314_seed=315_2022-08-05_19-10-57,0.922,0.2538,0.9238,0.2519
757,NN_tune_trainable_0ecbc_00492_492_seed=493_2022-08-06_10-27-16,0.923,0.2433,0.9231,0.2444
758,NN_tune_trainable_0ecbc_00652_652_seed=653_2022-08-06_23-41-15,0.923,0.2634,0.9242,0.2669
759,NN_tune_trainable_0ecbc_00591_591_seed=592_2022-08-06_18-40-44,0.921,0.2373,0.9221,0.2381
760,NN_tune_trainable_0ecbc_00976_976_seed=977_2022-08-08_01-46-17,0.919,0.2611,0.9186,0.2636
761,NN_tune_trainable_0ecbc_00885_885_seed=886_2022-08-07_18-23-44,0.92,0.2539,0.9213,0.2567
762,NN_tune_trainable_0ecbc_00173_173_seed=174_2022-08-05_06-39-42,0.925,0.2672,0.9248,0.2685
763,NN_tune_trainable_0ecbc_00662_662_seed=663_2022-08-07_00-35-11,0.921,0.2485,0.9206,0.2485
764,NN_tune_trainable_0ecbc_00990_990_seed=991_2022-08-08_02-58-33,0.922,0.2701,0.9215,0.2712
765,NN_tune_trainable_0ecbc_00704_704_seed=705_2022-08-07_03-53-43,0.92,0.2631,0.9208,0.2639
766,NN_tune_trainable_0ecbc_00297_297_seed=298_2022-08-05_17-37-59,0.922,0.2595,0.9228,0.2604
767,NN_tune_trainable_0ecbc_00690_690_seed=691_2022-08-07_02-51-27,0.918,0.2663,0.9204,0.2685
768,NN_tune_trainable_0ecbc_00717_717_seed=718_2022-08-07_04-52-41,0.921,0.276,0.9217,0.2748
769,NN_tune_trainable_0ecbc_00074_74_seed=75_2022-08-04_22-04-49,0.921,0.257,0.921,0.2581
770,NN_tune_trainable_0ecbc_00203_203_seed=204_2022-08-05_09-10-15,0.923,0.2508,0.9228,0.2503
771,NN_tune_trainable_0ecbc_00259_259_seed=260_2022-08-05_14-08-25,0.919,0.2563,0.9203,0.2579
772,NN_tune_trainable_0ecbc_00343_343_seed=344_2022-08-05_21-44-37,0.92,0.2617,0.9202,0.2612
773,NN_tune_trainable_0ecbc_00175_175_seed=176_2022-08-05_06-42-13,0.922,0.2904,0.9215,0.2913
774,NN_tune_trainable_0ecbc_00229_229_seed=230_2022-08-05_11-35-34,0.918,0.2812,0.9191,0.2825
775,NN_tune_trainable_0ecbc_00925_925_seed=926_2022-08-07_21-37-38,0.92,0.2581,0.9217,0.2567
776,NN_tune_trainable_0ecbc_00301_301_seed=302_2022-08-05_17-59-33,0.922,0.2773,0.9224,0.2789
777,NN_tune_trainable_0ecbc_00251_251_seed=252_2022-08-05_13-25-56,0.919,0.2674,0.9197,0.2667
778,NN_tune_trainable_0ecbc_00308_308_seed=309_2022-08-05_18-40-55,0.919,0.2683,0.9204,0.276
779,NN_tune_trainable_0ecbc_00159_159_seed=160_2022-08-05_05-17-03,0.919,0.2528,0.9198,0.2516
780,NN_tune_trainable_0ecbc_00914_914_seed=915_2022-08-07_20-53-00,0.92,0.2537,0.9202,0.2567
781,NN_tune_trainable_0ecbc_00640_640_seed=641_2022-08-06_22-42-36,0.92,0.256,0.9201,0.2573
782,NN_tune_trainable_0ecbc_00096_96_seed=97_2022-08-05_00-01-01,0.921,0.261,0.921,0.2624
783,NN_tune_trainable_0ecbc_00459_459_seed=460_2022-08-06_07-38-33,0.922,0.2854,0.9222,0.2873
784,NN_tune_trainable_0ecbc_00697_697_seed=698_2022-08-07_03-16-10,0.922,0.2766,0.9218,0.2765
785,NN_tune_trainable_0ecbc_00790_790_seed=791_2022-08-07_10-54-47,0.922,0.2709,0.9221,0.27
786,NN_tune_trainable_0ecbc_00849_849_seed=850_2022-08-07_15-28-53,0.918,0.277,0.9179,0.2753
787,NN_tune_trainable_0ecbc_00651_651_seed=652_2022-08-06_23-39-04,0.919,0.3089,0.9191,0.304
788,NN_tune_trainable_0ecbc_00511_511_seed=512_2022-08-06_11-59-32,0.923,0.2761,0.9223,0.2761
789,NN_tune_trainable_0ecbc_00798_798_seed=799_2022-08-07_11-33-27,0.922,0.2847,0.9225,0.2827
790,NN_tune_trainable_0ecbc_00926_926_seed=927_2022-08-07_21-50-45,0.922,0.2494,0.9228,0.2512
791,NN_tune_trainable_0ecbc_00777_777_seed=778_2022-08-07_09-41-17,0.923,0.2776,0.9234,0.2835
792,NN_tune_trainable_0ecbc_00176_176_seed=177_2022-08-05_06-59-06,0.923,0.2626,0.9231,0.2642
793,NN_tune_trainable_0ecbc_00912_912_seed=913_2022-08-07_20-35-59,0.921,0.251,0.9214,0.2499
794,NN_tune_trainable_0ecbc_00091_91_seed=92_2022-08-04_23-24-50,0.917,0.27,0.9177,0.274
795,NN_tune_trainable_0ecbc_00577_577_seed=578_2022-08-06_17-27-21,0.921,0.2423,0.921,0.2428
796,NN_tune_trainable_0ecbc_00714_714_seed=715_2022-08-07_04-47-39,0.92,0.2572,0.92,0.2578
797,NN_tune_trainable_0ecbc_00117_117_seed=118_2022-08-05_01-44-25,0.921,0.2686,0.9227,0.2707
798,NN_tune_trainable_0ecbc_00403_403_seed=404_2022-08-06_02-57-48,0.919,0.272,0.9205,0.2763
799,NN_tune_trainable_0ecbc_00281_281_seed=282_2022-08-05_16-10-57,0.919,0.2782,0.9197,0.275
800,NN_tune_trainable_0ecbc_00249_249_seed=250_2022-08-05_13-20-44,0.921,0.2447,0.9209,0.2454
801,NN_tune_trainable_0ecbc_00701_701_seed=702_2022-08-07_03-35-26,0.918,0.2598,0.9183,0.2575
802,NN_tune_trainable_0ecbc_00056_56_seed=57_2022-08-04_20-40-47,0.922,0.2567,0.9219,0.2559
803,NN_tune_trainable_0ecbc_00695_695_seed=696_2022-08-07_03-14-43,0.919,0.2747,0.9189,0.274
804,NN_tune_trainable_0ecbc_00563_563_seed=564_2022-08-06_16-19-49,0.92,0.2572,0.921,0.2564
805,NN_tune_trainable_0ecbc_00369_369_seed=370_2022-08-06_00-07-19,0.918,0.2551,0.9199,0.2555
806,NN_tune_trainable_0ecbc_00387_387_seed=388_2022-08-06_01-37-22,0.919,0.2968,0.9203,0.2942
807,NN_tune_trainable_0ecbc_00495_495_seed=496_2022-08-06_10-39-02,0.917,0.2704,0.9171,0.2701
808,NN_tune_trainable_0ecbc_00288_288_seed=289_2022-08-05_16-52-22,0.924,0.2778,0.9253,0.2752
809,NN_tune_trainable_0ecbc_00422_422_seed=423_2022-08-06_04-36-52,0.921,0.2498,0.9208,0.2494
810,NN_tune_trainable_0ecbc_00125_125_seed=126_2022-08-05_02-26-29,0.92,0.2555,0.9198,0.2569
811,NN_tune_trainable_0ecbc_00572_572_seed=573_2022-08-06_17-06-06,0.919,0.2739,0.9192,0.2745
812,NN_tune_trainable_0ecbc_00791_791_seed=792_2022-08-07_10-57-01,0.919,0.2803,0.9195,0.2813
813,NN_tune_trainable_0ecbc_00882_882_seed=883_2022-08-07_18-19-22,0.923,0.2765,0.9222,0.2722
814,NN_tune_trainable_0ecbc_00317_317_seed=318_2022-08-05_19-26-08,0.925,0.2705,0.9255,0.2693
815,NN_tune_trainable_0ecbc_00188_188_seed=189_2022-08-05_08-02-31,0.922,0.2536,0.9227,0.253
816,NN_tune_trainable_0ecbc_00699_699_seed=700_2022-08-07_03-34-09,0.92,0.2777,0.9213,0.2825
817,NN_tune_trainable_0ecbc_00953_953_seed=954_2022-08-07_23-53-31,0.92,0.2581,0.9205,0.258
818,NN_tune_trainable_0ecbc_00361_361_seed=362_2022-08-05_23-24-38,0.921,0.25,0.9223,0.2494
819,NN_tune_trainable_0ecbc_00182_182_seed=183_2022-08-05_07-24-34,0.922,0.2581,0.9216,0.2599
820,NN_tune_trainable_0ecbc_00800_800_seed=801_2022-08-07_11-35-41,0.921,0.2481,0.9217,0.2503
821,NN_tune_trainable_0ecbc_00305_305_seed=306_2022-08-05_18-21-15,0.919,0.2757,0.9187,0.2796
822,NN_tune_trainable_0ecbc_00426_426_seed=427_2022-08-06_04-57-08,0.92,0.2417,0.9206,0.2412
823,NN_tune_trainable_0ecbc_00597_597_seed=598_2022-08-06_19-06-38,0.92,0.2566,0.9201,0.2559
