,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
0,NN_tune_trainable_4008a_00969_969_seed=970_2022-08-22_01-52-18,0.699,0.1218,0.7412,0.1218
1,NN_tune_trainable_4008a_00887_887_seed=888_2022-08-21_16-59-33,0.707,0.1277,0.7422,0.1274
2,NN_tune_trainable_4008a_00636_636_seed=637_2022-08-20_13-59-35,0.693,0.1302,0.7403,0.1302
3,NN_tune_trainable_4008a_00436_436_seed=437_2022-08-19_16-36-39,0.694,0.1235,0.7468,0.1237
4,NN_tune_trainable_4008a_00479_479_seed=480_2022-08-19_21-08-42,0.685,0.1356,0.7458,0.1372
5,NN_tune_trainable_4008a_00545_545_seed=546_2022-08-20_04-18-00,0.696,0.1299,0.7424,0.1287
6,NN_tune_trainable_4008a_00237_237_seed=238_2022-08-18_19-20-32,0.698,0.1313,0.7421,0.1304
7,NN_tune_trainable_4008a_00017_17_seed=18_2022-08-17_19-19-31,0.699,0.1272,0.7375,0.1279
8,NN_tune_trainable_4008a_00375_375_seed=376_2022-08-19_10-01-08,0.697,0.1211,0.7403,0.1209
9,NN_tune_trainable_4008a_00843_843_seed=844_2022-08-21_12-19-05,0.702,0.1243,0.7434,0.1262
10,NN_tune_trainable_4008a_00333_333_seed=334_2022-08-19_05-32-00,0.693,0.1255,0.7436,0.1251
11,NN_tune_trainable_4008a_00557_557_seed=558_2022-08-20_05-34-21,0.69,0.1315,0.7401,0.132
12,NN_tune_trainable_4008a_00159_159_seed=160_2022-08-18_10-49-54,0.699,0.1223,0.7413,0.1245
13,NN_tune_trainable_4008a_00670_670_seed=671_2022-08-20_17-41-21,0.691,0.1265,0.739,0.1265
14,NN_tune_trainable_4008a_00944_944_seed=945_2022-08-21_23-03-08,0.689,0.1187,0.7422,0.1182
15,NN_tune_trainable_4008a_00353_353_seed=354_2022-08-19_07-40-31,0.692,0.1296,0.7425,0.1302
16,NN_tune_trainable_4008a_00491_491_seed=492_2022-08-19_22-29-59,0.687,0.1283,0.7411,0.129
17,NN_tune_trainable_4008a_00474_474_seed=475_2022-08-19_20-40-00,0.691,0.1161,0.7455,0.1179
18,NN_tune_trainable_4008a_00501_501_seed=502_2022-08-19_23-34-08,0.695,0.1287,0.7431,0.1283
