,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
29,"NN_tune_trainable_b6a12_00983_983_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::lr=0.001,optim::op_2021-07-11_14-40-27",0.804,0.5728,0.8015,0.549
30,"NN_tune_trainable_b6a12_01697_1697_model::dropout=0.5,model::init_type=uniform,model::nlin=tanh,optim::lr=0.0001,optim::optimizer=_2021-07-13_05-47-23",0.651,0.6177,0.6436,0.591
31,"NN_tune_trainable_b6a12_01589_1589_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.0001,optim:_2021-07-12_23-41-29",0.807,0.6375,0.8057,0.6222
32,"NN_tune_trainable_b6a12_01058_1058_model::dropout=0.0,model::init_type=normal,model::nlin=tanh,optim::lr=0.0001,optim::optimizer=a_2021-07-11_18-41-24",0.863,0.7102,0.8611,0.6995
33,"NN_tune_trainable_b6a12_02012_2012_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=gelu,optim::lr=0.001,optim::opt_2021-07-14_00-05-41",0.98,0.2876,0.9817,0.2768
34,"NN_tune_trainable_b6a12_01264_1264_model::dropout=0.0,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.0001,optim::optimiz_2021-07-12_05-27-32",0.113,0.1135,0.1135,0.1135
35,"NN_tune_trainable_b6a12_00721_721_model::dropout=0.5,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.001,optim::optimizer_2021-07-11_01-03-58",0.095,0.1009,0.1028,0.1028
36,"NN_tune_trainable_b6a12_00155_155_model::dropout=0.5,model::init_type=normal,model::nlin=gelu,optim::lr=0.001,optim::optimizer=ada_2021-07-09_15-07-15",0.906,0.1552,0.9056,0.1367
37,"NN_tune_trainable_b6a12_01528_1528_model::dropout=0.0,model::init_type=uniform,model::nlin=gelu,optim::lr=0.0001,optim::optimizer=_2021-07-12_20-18-44",0.101,0.0974,0.0974,0.0974
38,"NN_tune_trainable_b6a12_00806_806_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.0001,optim::opti_2021-07-11_05-29-31",0.978,0.3862,0.9795,0.4166
39,"NN_tune_trainable_b6a12_01728_1728_model::dropout=0.0,model::init_type=uniform,model::nlin=tanh,optim::lr=0.001,optim::optimizer=s_2021-07-13_07-39-18",0.918,0.1883,0.9238,0.1992
40,"NN_tune_trainable_b6a12_02249_2249_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::lr=0.001,optim::optimizer=s_2021-07-14_14-00-03",0.113,0.1135,0.1135,0.1135
41,"NN_tune_trainable_b6a12_02089_2089_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::lr=0.0001,optim::optimizer=_2021-07-14_04-44-43",0.923,0.1135,0.9233,0.1135
42,"NN_tune_trainable_b6a12_01062_1062_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.0001,optim::opt_2021-07-11_18-50-48",0.977,0.5896,0.9776,0.5307
43,"NN_tune_trainable_b6a12_00280_280_model::dropout=0.0,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=ad_2021-07-09_22-30-56",0.984,0.7958,0.9891,0.8186
44,"NN_tune_trainable_b6a12_00555_555_model::dropout=0.5,model::init_type=normal,model::nlin=relu,optim::lr=0.0001,optim::optimizer=ad_2021-07-10_15-35-00",0.723,0.3238,0.6926,0.2493
45,"NN_tune_trainable_b6a12_01250_1250_model::dropout=0.0,model::init_type=normal,model::nlin=tanh,optim::lr=0.0001,optim::optimizer=s_2021-07-12_04-46-54",0.662,0.498,0.6565,0.4972
46,"NN_tune_trainable_b6a12_01655_1655_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=sigmoid,optim::lr=0.0001,optim::_2021-07-13_03-20-43",0.113,0.1135,0.1135,0.1135
47,"NN_tune_trainable_b6a12_01449_1449_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::lr=0.0001,optim::optimizer=_2021-07-12_16-03-14",0.895,0.1443,0.896,0.144
48,"NN_tune_trainable_b6a12_01158_1158_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.001,optim::opti_2021-07-11_23-51-29",0.977,0.4972,0.9828,0.3382
49,"NN_tune_trainable_b6a12_01049_1049_model::dropout=0.5,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=a_2021-07-11_18-12-28",0.949,0.1137,0.9527,0.1153
50,"NN_tune_trainable_b6a12_00319_319_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.0001,optim::opti_2021-07-10_01-05-49",0.946,0.114,0.9466,0.1143
51,"NN_tune_trainable_b6a12_01254_1254_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.0001,optim::opt_2021-07-12_04-51-39",0.968,0.6276,0.9691,0.6151
52,"NN_tune_trainable_b6a12_01761_1761_model::dropout=0.5,model::init_type=uniform,model::nlin=tanh,optim::lr=0.0001,optim::optimizer=_2021-07-13_09-27-53",0.154,0.1009,0.1451,0.1028
53,"NN_tune_trainable_b6a12_02416_2416_model::dropout=0.0,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.0001,optim::optimiz_2021-07-14_22-47-40",0.113,0.1135,0.1135,0.1135
54,"NN_tune_trainable_b6a12_00606_606_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.001,optim::optim_2021-07-10_18-38-55",0.983,0.961,0.9852,0.9662
55,"NN_tune_trainable_b6a12_00338_338_model::dropout=0.0,model::init_type=normal,model::nlin=sigmoid,optim::lr=0.001,optim::optimizer=_2021-07-10_02-00-53",0.965,0.5723,0.9659,0.648
56,"NN_tune_trainable_b6a12_00501_501_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.0001,optim::_2021-07-10_12-22-02",0.113,0.1135,0.1135,0.1135
57,"NN_tune_trainable_b6a12_00949_949_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.0001,optim::_2021-07-11_12-59-38",0.872,0.8118,0.8709,0.8162
58,"NN_tune_trainable_b6a12_00921_921_model::dropout=0.5,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=ad_2021-07-11_11-34-00",0.937,0.0966,0.9398,0.0938
59,"NN_tune_trainable_b6a12_01690_1690_model::dropout=0.0,model::init_type=normal,model::nlin=gelu,optim::lr=0.001,optim::optimizer=ad_2021-07-13_05-20-31",0.978,0.5677,0.9833,0.5459
60,"NN_tune_trainable_b6a12_01200_1200_model::dropout=0.0,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.0001,optim::optimiz_2021-07-12_02-06-16",0.968,0.807,0.9687,0.8117
61,"NN_tune_trainable_b6a12_01985_1985_model::dropout=0.5,model::init_type=uniform,model::nlin=tanh,optim::lr=0.001,optim::optimizer=s_2021-07-13_22-42-55",0.844,0.2562,0.8485,0.2303
62,"NN_tune_trainable_b6a12_01579_1579_model::dropout=0.5,model::init_type=normal,model::nlin=relu,optim::lr=0.0001,optim::optimizer=a_2021-07-12_23-11-34",0.851,0.4396,0.8436,0.4467
63,"NN_tune_trainable_b6a12_00560_560_model::dropout=0.0,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.0001,optim::optimize_2021-07-10_15-45-40",0.113,0.1135,0.1135,0.1135
64,"NN_tune_trainable_b6a12_01669_1669_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=tanh,optim::lr=0.001,optim::opt_2021-07-13_04-08-46",0.959,0.3224,0.9619,0.344
65,"NN_tune_trainable_b6a12_01864_1864_model::dropout=0.0,model::init_type=uniform,model::nlin=relu,optim::lr=0.001,optim::optimizer=s_2021-07-13_15-20-47",0.113,0.1135,0.1135,0.1135
66,"NN_tune_trainable_b6a12_00913_913_model::dropout=0.5,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.001,optim::optimizer_2021-07-11_11-08-46",0.932,0.3599,0.9339,0.4537
67,"NN_tune_trainable_b6a12_01771_1771_model::dropout=0.5,model::init_type=normal,model::nlin=relu,optim::lr=0.0001,optim::optimizer=s_2021-07-13_09-58-17",0.113,0.1135,0.1135,0.1135
68,"NN_tune_trainable_b6a12_01104_1104_model::dropout=0.0,model::init_type=uniform,model::nlin=sigmoid,optim::lr=0.001,optim::optimize_2021-07-11_20-57-13",0.113,0.1135,0.1135,0.1135
69,"NN_tune_trainable_b6a12_00172_172_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=relu,optim::lr=0.0001,optim::opt_2021-07-09_16-04-41",0.981,0.9365,0.9823,0.9345
70,"NN_tune_trainable_b6a12_01612_1612_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=relu,optim::lr=0.001,optim::opt_2021-07-13_01-00-00",0.982,0.868,0.9856,0.8626
71,"NN_tune_trainable_b6a12_00926_926_model::dropout=0.0,model::init_type=kaiming_normal,model::nlin=gelu,optim::lr=0.001,optim::optim_2021-07-11_11-47-11",0.982,0.3382,0.986,0.2868
72,"NN_tune_trainable_b6a12_01564_1564_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=gelu,optim::lr=0.001,optim::opt_2021-07-12_22-19-41",0.983,0.7663,0.9867,0.7991
73,"NN_tune_trainable_b6a12_01282_1282_model::dropout=0.0,model::init_type=normal,model::nlin=tanh,optim::lr=0.001,optim::optimizer=ad_2021-07-12_06-22-16",0.976,0.4513,0.9817,0.6091
74,"NN_tune_trainable_b6a12_00617_617_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::lr=0.0001,optim::optimizer=s_2021-07-10_19-30-04",0.113,0.1135,0.1135,0.1135
75,"NN_tune_trainable_b6a12_01703_1703_model::dropout=0.5,model::init_type=kaiming_normal,model::nlin=tanh,optim::lr=0.0001,optim::opt_2021-07-13_06-03-09",0.94,0.3103,0.9396,0.2982
76,"NN_tune_trainable_b6a12_00754_754_model::dropout=0.0,model::init_type=normal,model::nlin=sigmoid,optim::lr=0.0001,optim::optimizer_2021-07-11_02-44-15",0.809,0.7462,0.8067,0.7436
77,"NN_tune_trainable_b6a12_01643_1643_model::dropout=0.5,model::init_type=normal,model::nlin=relu,optim::lr=0.0001,optim::optimizer=s_2021-07-13_02-44-45",0.113,0.1135,0.1135,0.1135
78,"NN_tune_trainable_b6a12_00181_181_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.0001,optim::_2021-07-09_16-38-06",0.887,0.7195,0.8858,0.7513
