,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
524,NN_tune_trainable_c0371_00435_435_seed=436_2021-07-02_14-02-27,0.89,0.8489,0.8899,0.8473
525,NN_tune_trainable_c0371_00608_608_seed=609_2021-07-02_22-44-03,0.91,0.7777,0.9096,0.7932
526,NN_tune_trainable_c0371_00860_860_seed=861_2021-07-03_11-08-44,0.912,0.702,0.9124,0.7219
527,NN_tune_trainable_c0371_00116_116_seed=117_2021-07-01_22-19-52,0.912,0.8456,0.9113,0.8417
528,NN_tune_trainable_c0371_00926_926_seed=927_2021-07-03_14-21-24,0.898,0.8726,0.9,0.8662
529,NN_tune_trainable_c0371_00338_338_seed=339_2021-07-02_09-12-26,0.915,0.8597,0.915,0.8605
530,NN_tune_trainable_c0371_00207_207_seed=208_2021-07-02_02-39-22,0.904,0.8743,0.9037,0.8717
531,NN_tune_trainable_c0371_00714_714_seed=715_2021-07-03_03-56-43,0.909,0.8227,0.9089,0.8359
532,NN_tune_trainable_c0371_00290_290_seed=291_2021-07-02_06-49-37,0.895,0.8663,0.8939,0.8682
533,NN_tune_trainable_c0371_00775_775_seed=776_2021-07-03_06-57-56,0.895,0.8815,0.8964,0.8766
534,NN_tune_trainable_c0371_00986_986_seed=987_2021-07-03_17-26-44,0.9,0.8912,0.8983,0.8921
535,NN_tune_trainable_c0371_00105_105_seed=106_2021-07-01_21-53-37,0.916,0.8478,0.9158,0.8502
536,NN_tune_trainable_c0371_00091_91_seed=92_2021-07-01_21-09-23,0.905,0.6452,0.9055,0.6382
537,NN_tune_trainable_c0371_00242_242_seed=243_2021-07-02_04-30-08,0.918,0.7618,0.918,0.7385
538,NN_tune_trainable_c0371_00494_494_seed=495_2021-07-02_16-53-48,0.919,0.7999,0.9172,0.8103
539,NN_tune_trainable_c0371_00480_480_seed=481_2021-07-02_16-23-58,0.899,0.7363,0.8987,0.737
540,NN_tune_trainable_c0371_00430_430_seed=431_2021-07-02_13-41-36,0.911,0.408,0.9118,0.4388
541,NN_tune_trainable_c0371_00877_877_seed=878_2021-07-03_11-58-24,0.913,0.7081,0.9112,0.7007
542,NN_tune_trainable_c0371_00005_5_seed=6_2021-07-01_16-59-54,0.899,0.8922,0.8981,0.89
543,NN_tune_trainable_c0371_00762_762_seed=763_2021-07-03_06-20-17,0.913,0.5792,0.9137,0.5936
544,NN_tune_trainable_c0371_00748_748_seed=749_2021-07-03_05-34-29,0.905,0.5299,0.9037,0.5218
545,NN_tune_trainable_c0371_00244_244_seed=245_2021-07-02_04-31-10,0.916,0.5865,0.9161,0.5837
546,NN_tune_trainable_c0371_00328_328_seed=329_2021-07-02_08-44-41,0.92,0.426,0.9217,0.4287
547,NN_tune_trainable_c0371_00889_889_seed=890_2021-07-03_12-38-30,0.908,0.89,0.9084,0.8877
548,NN_tune_trainable_c0371_00545_545_seed=546_2021-07-02_19-36-21,0.899,0.8801,0.8975,0.8769
549,NN_tune_trainable_c0371_00396_396_seed=397_2021-07-02_12-05-24,0.906,0.5972,0.9046,0.6155
550,NN_tune_trainable_c0371_00487_487_seed=488_2021-07-02_16-31-31,0.914,0.436,0.9137,0.4536
551,NN_tune_trainable_c0371_00980_980_seed=981_2021-07-03_17-08-00,0.903,0.8192,0.9001,0.8298
552,NN_tune_trainable_c0371_00385_385_seed=386_2021-07-02_11-36-43,0.92,0.8068,0.9199,0.8174
553,NN_tune_trainable_c0371_00302_302_seed=303_2021-07-02_07-14-36,0.904,0.7975,0.9044,0.8011
554,NN_tune_trainable_c0371_00620_620_seed=621_2021-07-02_23-12-14,0.914,0.3961,0.9135,0.4086
555,NN_tune_trainable_c0371_00390_390_seed=391_2021-07-02_11-42-39,0.908,0.8128,0.9057,0.8224
556,NN_tune_trainable_c0371_00942_942_seed=943_2021-07-03_15-10-02,0.915,0.5184,0.9161,0.534
557,NN_tune_trainable_c0371_00802_802_seed=803_2021-07-03_08-19-40,0.92,0.8745,0.919,0.8784
558,NN_tune_trainable_c0371_00245_245_seed=246_2021-07-02_04-32-36,0.908,0.8588,0.9092,0.8552
559,NN_tune_trainable_c0371_00573_573_seed=574_2021-07-02_20-50-12,0.908,0.4268,0.9084,0.4605
