,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_10_attack,epoch_20_attack,epoch_30_attack,epoch_40_attack,epoch_50_attack
0,0.7083,0.8435,0.8424,0.9077,0.9209,0.2618,0.3079,0.2783,0.2607,0.2554
1,0.7886,0.8159,0.8612,0.9102,0.9199,0.3892,0.2901,0.2964,0.2937,0.2794
2,0.7584,0.8272,0.8833,0.9088,0.9231,0.3462,0.2913,0.2472,0.2547,0.2473
3,0.7992,0.8571,0.8849,0.9038,0.9215,0.3676,0.2486,0.2512,0.2742,0.2626
4,0.7348,0.8274,0.8457,0.9068,0.9196,0.3541,0.2871,0.2738,0.2653,0.267
5,0.6982,0.8572,0.8617,0.9038,0.9239,0.2908,0.3167,0.2654,0.2512,0.2648
6,0.7444,0.8588,0.8508,0.9083,0.9228,0.3391,0.3107,0.2687,0.2664,0.2722
7,0.708,0.8584,0.8694,0.91,0.9211,0.3477,0.3111,0.2864,0.2763,0.2646
8,0.7881,0.8436,0.8821,0.905,0.9219,0.3471,0.3048,0.2362,0.2573,0.2515
9,0.7903,0.8382,0.8649,0.9018,0.9211,0.3425,0.2723,0.227,0.2735,0.2566
10,0.7602,0.857,0.8513,0.9082,0.9239,0.313,0.3095,0.2754,0.2668,0.2429
11,0.7496,0.8375,0.8785,0.9077,0.9213,0.3397,0.2817,0.2573,0.2651,0.2457
12,0.7271,0.8333,0.858,0.9071,0.9232,0.3345,0.3373,0.2733,0.252,0.2717
13,0.681,0.831,0.8597,0.9098,0.9198,0.3401,0.2967,0.3045,0.2809,0.3089
14,0.7753,0.832,0.8598,0.9103,0.9227,0.3563,0.2704,0.252,0.2658,0.2469
15,0.7646,0.8238,0.8825,0.9096,0.9198,0.2981,0.2578,0.2606,0.2629,0.2416
16,0.7711,0.8373,0.8641,0.9097,0.9205,0.3613,0.2494,0.282,0.2678,0.258
17,0.7387,0.8363,0.8747,0.9138,0.9219,0.301,0.3078,0.2643,0.2652,0.2509
18,0.7708,0.8054,0.8754,0.9092,0.9222,0.3471,0.2639,0.267,0.2619,0.2663
19,0.7779,0.8142,0.8623,0.9069,0.9202,0.3734,0.305,0.2779,0.2525,0.2677
20,0.7759,0.8248,0.8682,0.9109,0.9192,0.3625,0.2501,0.2715,0.293,0.2727
21,0.7972,0.8454,0.8807,0.9053,0.9227,0.3529,0.2786,0.2577,0.2449,0.2506
22,0.7416,0.8057,0.8888,0.9068,0.9225,0.3581,0.2922,0.2826,0.2763,0.2671
23,0.7685,0.825,0.8818,0.9063,0.9212,0.3411,0.3307,0.306,0.3011,0.2818
24,0.7071,0.8497,0.8721,0.9051,0.9218,0.3205,0.2675,0.274,0.2399,0.2653
25,0.7666,0.8445,0.8692,0.9055,0.9194,0.366,0.3046,0.2959,0.2768,0.2622
26,0.7893,0.8532,0.8655,0.9053,0.9192,0.404,0.3121,0.25,0.2715,0.2535
27,0.7548,0.852,0.8618,0.9027,0.9217,0.3427,0.2759,0.2263,0.2365,0.2373
28,0.7588,0.8073,0.8798,0.9091,0.9233,0.3328,0.3242,0.2998,0.2661,0.2717
29,0.7575,0.8436,0.8711,0.9088,0.9189,0.3296,0.2948,0.2625,0.255,0.263
30,0.7727,0.8461,0.8835,0.9102,0.9226,0.3516,0.3092,0.3005,0.245,0.27
31,0.7149,0.8568,0.8669,0.9102,0.9205,0.3124,0.2694,0.2667,0.2961,0.2813
32,0.7316,0.8262,0.8806,0.9115,0.9267,0.3131,0.3175,0.2627,0.2642,0.2525
33,0.7555,0.8528,0.8735,0.9079,0.9208,0.3165,0.3063,0.2909,0.2934,0.2699
34,0.7614,0.842,0.8745,0.9083,0.9204,0.3285,0.3023,0.2874,0.2714,0.2671
35,0.7507,0.8304,0.884,0.908,0.9218,0.3404,0.285,0.2681,0.2698,0.2538
36,0.7488,0.8557,0.8613,0.9098,0.9229,0.3506,0.3356,0.3066,0.2761,0.2698
37,0.7074,0.824,0.8682,0.9047,0.9222,0.3135,0.2768,0.285,0.2466,0.2508
38,0.7567,0.8365,0.873,0.9079,0.9237,0.3288,0.2993,0.2544,0.2632,0.269
39,0.7917,0.8362,0.8665,0.9094,0.9222,0.3199,0.3264,0.3044,0.2851,0.2781
40,0.7648,0.8187,0.8754,0.9093,0.9196,0.3295,0.2854,0.2777,0.2688,0.257
41,0.7285,0.8319,0.8568,0.9083,0.9241,0.3728,0.2683,0.2529,0.2752,0.2699
42,0.7178,0.8542,0.8726,0.9069,0.9244,0.2993,0.3053,0.2923,0.2728,0.2628
43,0.7731,0.842,0.8884,0.9082,0.921,0.2813,0.3091,0.2708,0.2591,0.2494
44,0.8051,0.8125,0.8861,0.9062,0.9198,0.3997,0.2659,0.2738,0.2574,0.2329
45,0.7444,0.8293,0.8637,0.906,0.9193,0.3509,0.3037,0.2634,0.28,0.2542
46,0.7358,0.8337,0.8535,0.9078,0.9203,0.3099,0.3103,0.3016,0.2733,0.2666
47,0.7588,0.8245,0.8838,0.9104,0.9208,0.3559,0.3004,0.3155,0.2766,0.2688
48,0.7756,0.8514,0.8867,0.9093,0.9231,0.3372,0.2903,0.2909,0.2597,0.2548
49,0.7307,0.8259,0.8788,0.9091,0.9239,0.3975,0.3053,0.2529,0.2486,0.2441
